Accounts Receivable — Account 1200 Trade Debtors — 2026-08
Amounts in USD. 'Ref doc' is the document the customer's remittance advice or credit note cites; resolve it through index/documents.csv.
'Cust' is a counterparty code; see masters/counterparties.csv.

Date        Voucher     Ref doc     Narration            Cust           Debit      Credit      Balance
------------------------------------------------------------------------------------------------------
                                    Opening balance                                         246,868.05
2026-08-02  AR-00127                Service billed       C-DELT      9,391.36               256,259.41
2026-08-02  AR-00128                Invoice raised       C-FAIR      5,430.52               261,689.93
2026-08-04  AR-00129    DOC-60224   Payment received     C-EAST                  8,645.69   253,044.24
2026-08-05  AR-00130                Goods dispatched     C-DELT      8,817.18               261,861.42
2026-08-06  AR-00131                Invoice raised       C-ANCH      2,996.18               264,857.60
2026-08-08  AR-00132    DOC-12082   Payment received     C-BAYL                  8,554.57   256,303.03
2026-08-09  AR-00133                Invoice raised       C-FAIR      8,429.19               264,732.22
2026-08-10  AR-00134                Goods dispatched     C-BAYL      3,858.22               268,590.44
2026-08-10  AR-00135                Goods dispatched     C-FAIR      4,216.73               272,807.17
2026-08-14  AR-00136    DOC-78829   Payment received     C-BAYL                  6,860.29   265,946.88
2026-08-15  AR-00137                Goods dispatched     C-CEDA      1,229.70               267,176.58
2026-08-15  AR-00138                Service billed       C-DELT      6,174.67               273,351.25
2026-08-15  AR-00139                Invoice raised       C-EAST      5,778.05               279,129.30
2026-08-21  AR-00140    DOC-90238   Credit note issued   C-BAYL                  2,573.73   276,555.57
2026-08-23  AR-00141                Service billed       C-CEDA      4,007.12               280,562.69
2026-08-25  AR-00142    DOC-95272   Payment received     C-BAYL                  4,567.41   275,995.28
2026-08-25  AR-00143                Invoice raised       C-BAYL      3,734.07               279,729.35
2026-08-28  AR-00144    DOC-58573   Settlement received  C-EAST                  5,414.32   274,315.03
                                    Closing balance                                         274,315.03
