document_id,voucher,document_type
DOC-10065,AR-00034,invoice
DOC-10384,AR-00079,invoice
DOC-10911,AR-00133,invoice
DOC-11088,AR-00125,invoice
DOC-11572,AR-00146,invoice
DOC-12497,AR-00210,invoice
DOC-13143,AR-00205,invoice
DOC-13484,AR-00204,invoice
DOC-13936,AR-00103,invoice
DOC-14574,AR-00127,invoice
DOC-15084,AR-00193,invoice
DOC-15095,AR-00097,invoice
DOC-15345,AR-00158,invoice
DOC-16557,AR-00018,invoice
DOC-16712,AR-00012,invoice
DOC-17383,AR-00175,invoice
DOC-18909,AR-00123,invoice
DOC-18960,AR-00045,invoice
DOC-19122,AR-00026,invoice
DOC-20616,AR-00035,invoice
DOC-20894,AR-00008,invoice
DOC-22830,AR-00059,invoice
DOC-23143,AR-00140,invoice
DOC-24384,AR-00031,invoice
DOC-24510,AR-00145,invoice
DOC-24741,AR-00048,invoice
DOC-24948,AR-00112,invoice
DOC-25144,AR-00016,invoice
DOC-25426,AR-00094,invoice
DOC-26391,AR-00070,invoice
DOC-27144,AR-00039,invoice
DOC-27396,AR-00134,invoice
DOC-27777,AR-00152,invoice
DOC-28715,AR-00015,invoice
DOC-29071,AR-00087,invoice
DOC-29573,AR-00138,invoice
DOC-30230,AR-00184,invoice
DOC-30302,AR-00200,invoice
DOC-32093,AR-00082,invoice
DOC-32317,AR-00142,invoice
DOC-32357,AR-00159,invoice
DOC-32610,AR-00095,invoice
DOC-33003,AR-00072,invoice
DOC-35241,AR-00037,invoice
DOC-35791,AR-00176,invoice
DOC-37095,AR-00110,invoice
DOC-37282,AR-00063,invoice
DOC-37517,AR-00002,invoice
DOC-38277,AR-00077,invoice
DOC-38526,AR-00010,invoice
DOC-42740,AR-00192,invoice
DOC-43230,AR-00137,invoice
DOC-43651,AR-00011,invoice
DOC-45406,AR-00058,invoice
DOC-46439,AR-00128,invoice
DOC-46646,AR-00148,invoice
DOC-48037,AR-00214,invoice
DOC-48139,AR-00067,invoice
DOC-49799,AR-00076,invoice
DOC-50819,AR-00209,invoice
DOC-51510,AR-00199,invoice
DOC-51874,AR-00092,invoice
DOC-52402,AR-00007,invoice
DOC-52405,AR-00153,invoice
DOC-53675,AR-00027,invoice
DOC-53692,AR-00207,invoice
DOC-55672,AR-00166,invoice
DOC-55711,AR-00196,invoice
DOC-56304,AR-00113,invoice
DOC-57611,AR-00023,invoice
DOC-57896,AR-00131,invoice
DOC-58098,AR-00213,invoice
DOC-58260,AR-00069,invoice
DOC-59536,AR-00114,invoice
DOC-60877,AR-00121,invoice
DOC-61028,AR-00040,invoice
DOC-61489,AR-00102,invoice
DOC-62116,AR-00080,invoice
DOC-62527,AR-00170,invoice
DOC-62529,AR-00217,invoice
DOC-62805,AR-00183,invoice
DOC-64472,AR-00119,invoice
DOC-64576,AR-00046,invoice
DOC-65245,AR-00075,invoice
DOC-65500,AR-00098,invoice
DOC-65626,AR-00202,invoice
DOC-65754,AR-00201,invoice
DOC-66598,AR-00009,invoice
DOC-67530,AR-00174,invoice
DOC-68241,AR-00109,invoice
DOC-68319,AR-00093,invoice
DOC-68825,AR-00173,invoice
DOC-69123,AR-00206,invoice
DOC-69266,AR-00100,invoice
DOC-70269,AR-00117,invoice
DOC-71621,AR-00198,invoice
DOC-73508,AR-00006,invoice
DOC-73853,AR-00165,invoice
DOC-73874,AR-00150,invoice
DOC-74150,AR-00105,invoice
DOC-75416,AR-00060,invoice
DOC-76257,AR-00208,invoice
DOC-76986,AR-00157,invoice
DOC-77534,AR-00030,invoice
DOC-77836,AR-00118,invoice
DOC-77837,AR-00013,invoice
DOC-79844,AR-00215,invoice
DOC-80482,AR-00084,invoice
DOC-82169,AR-00107,invoice
DOC-82609,AR-00156,invoice
DOC-82690,AR-00167,invoice
DOC-83019,AR-00188,invoice
DOC-84222,AR-00101,invoice
DOC-84787,AR-00106,invoice
DOC-85226,AR-00003,invoice
DOC-85394,AR-00042,invoice
DOC-85549,AR-00186,invoice
DOC-85967,AR-00020,invoice
DOC-85969,AR-00022,invoice
DOC-86072,AR-00041,invoice
DOC-86525,AR-00001,invoice
DOC-87799,AR-00014,invoice
DOC-87837,AR-00160,invoice
DOC-88511,AR-00219,invoice
DOC-89893,AR-00139,invoice
DOC-90896,AR-00088,invoice
DOC-91153,AR-00044,invoice
DOC-91581,AR-00025,invoice
DOC-91841,AR-00085,invoice
DOC-93053,AR-00043,invoice
DOC-93509,AR-00108,invoice
DOC-94829,AR-00212,invoice
DOC-95604,AR-00171,invoice
DOC-95861,AR-00177,invoice
DOC-96448,AR-00155,invoice
DOC-96747,AR-00004,invoice
DOC-98738,AR-00049,invoice
DOC-99576,AR-00194,invoice
