document_id,voucher,document_type
DOC-12567,AR-00034,invoice
DOC-14000,AR-00045,invoice
DOC-16224,AR-00052,invoice
DOC-17010,AR-00043,invoice
DOC-19289,AR-00042,invoice
DOC-20599,AR-00038,invoice
DOC-20849,AR-00056,invoice
DOC-22361,AR-00047,invoice
DOC-23366,AR-00021,invoice
DOC-24034,AR-00064,invoice
DOC-24039,AR-00058,invoice
DOC-24120,AR-00036,invoice
DOC-24735,AR-00071,invoice
DOC-25726,AR-00027,invoice
DOC-26455,AR-00065,invoice
DOC-27306,AR-00061,invoice
DOC-31165,AR-00012,invoice
DOC-31402,AR-00025,invoice
DOC-33172,AR-00008,invoice
DOC-34046,AR-00051,invoice
DOC-35198,AR-00032,invoice
DOC-38841,AR-00074,invoice
DOC-41456,AR-00073,invoice
DOC-41940,AR-00028,invoice
DOC-41942,AR-00023,invoice
DOC-44242,AR-00077,invoice
DOC-46313,AR-00041,invoice
DOC-48113,AR-00009,invoice
DOC-48925,AR-00015,invoice
DOC-50774,AR-00059,invoice
DOC-52176,AR-00007,invoice
DOC-52581,AR-00002,invoice
DOC-52937,AR-00066,invoice
DOC-53013,AR-00003,invoice
DOC-57462,AR-00005,invoice
DOC-58194,AR-00024,invoice
DOC-58777,AR-00004,invoice
DOC-61415,AR-00048,invoice
DOC-61637,AR-00049,invoice
DOC-63885,AR-00057,invoice
DOC-68147,AR-00001,invoice
DOC-68372,AR-00019,invoice
DOC-69343,AR-00017,invoice
DOC-70923,AR-00022,invoice
DOC-73674,AR-00076,invoice
DOC-73790,AR-00039,invoice
DOC-77568,AR-00010,invoice
DOC-78407,AR-00031,invoice
DOC-78705,AR-00014,invoice
DOC-82130,AR-00006,invoice
DOC-84134,AR-00068,invoice
DOC-86574,AR-00075,invoice
DOC-92267,AR-00029,invoice
DOC-95080,AR-00040,invoice
DOC-95284,AR-00055,invoice
