document_id,voucher,document_type
DOC-10059,AR-00105,invoice
DOC-10819,AR-00017,invoice
DOC-11105,AR-00119,invoice
DOC-11612,AR-00022,invoice
DOC-13699,AR-00059,invoice
DOC-13771,AR-00049,invoice
DOC-14201,AR-00007,invoice
DOC-14379,AR-00117,invoice
DOC-16965,AR-00071,invoice
DOC-17098,AR-00096,invoice
DOC-18255,AR-00001,invoice
DOC-18676,AR-00064,invoice
DOC-20299,AR-00095,invoice
DOC-22099,AR-00014,invoice
DOC-27055,AR-00078,invoice
DOC-27188,AR-00034,invoice
DOC-27379,AR-00006,invoice
DOC-27607,AR-00019,invoice
DOC-28922,AR-00082,invoice
DOC-30356,AR-00132,invoice
DOC-30852,AR-00033,invoice
DOC-31240,AR-00093,invoice
DOC-32668,AR-00134,invoice
DOC-32736,AR-00106,invoice
DOC-34067,AR-00136,invoice
DOC-34835,AR-00011,invoice
DOC-36346,AR-00042,invoice
DOC-38047,AR-00129,invoice
DOC-38065,AR-00100,invoice
DOC-43061,AR-00070,invoice
DOC-43288,AR-00021,invoice
DOC-43294,AR-00113,invoice
DOC-44322,AR-00030,invoice
DOC-45067,AR-00047,invoice
DOC-46480,AR-00089,invoice
DOC-46890,AR-00074,invoice
DOC-48717,AR-00124,invoice
DOC-48965,AR-00066,invoice
DOC-49188,AR-00118,invoice
DOC-52902,AR-00086,invoice
DOC-54576,AR-00044,invoice
DOC-55352,AR-00126,invoice
DOC-57633,AR-00018,invoice
DOC-57668,AR-00020,invoice
DOC-57880,AR-00040,invoice
DOC-58192,AR-00026,invoice
DOC-59545,AR-00048,invoice
DOC-61269,AR-00032,invoice
DOC-61593,AR-00050,invoice
DOC-62121,AR-00114,invoice
DOC-62328,AR-00079,invoice
DOC-62945,AR-00142,invoice
DOC-63593,AR-00068,invoice
DOC-63683,AR-00004,invoice
DOC-64268,AR-00111,invoice
DOC-64526,AR-00138,invoice
DOC-64753,AR-00056,invoice
DOC-64912,AR-00010,invoice
DOC-66529,AR-00098,invoice
DOC-66862,AR-00088,invoice
DOC-67017,AR-00062,invoice
DOC-67538,AR-00120,invoice
DOC-68659,AR-00057,invoice
DOC-68890,AR-00084,invoice
DOC-69935,AR-00008,invoice
DOC-70768,AR-00039,invoice
DOC-71168,AR-00015,invoice
DOC-71171,AR-00025,invoice
DOC-71209,AR-00043,invoice
DOC-71937,AR-00077,invoice
DOC-73365,AR-00029,invoice
DOC-74238,AR-00076,invoice
DOC-74374,AR-00041,invoice
DOC-75321,AR-00130,invoice
DOC-75669,AR-00028,invoice
DOC-79644,AR-00055,invoice
DOC-80081,AR-00107,invoice
DOC-80172,AR-00127,invoice
DOC-80805,AR-00065,invoice
DOC-82094,AR-00035,invoice
DOC-82207,AR-00135,invoice
DOC-82348,AR-00067,invoice
DOC-83180,AR-00140,invoice
DOC-84195,AR-00091,invoice
DOC-86327,AR-00060,invoice
DOC-88163,AR-00016,invoice
DOC-88760,AR-00110,invoice
DOC-90199,AR-00054,invoice
DOC-91827,AR-00080,invoice
DOC-92107,AR-00102,invoice
DOC-92241,AR-00122,invoice
DOC-95909,AR-00045,invoice
DOC-96073,AR-00046,invoice
DOC-97757,AR-00081,invoice
DOC-97899,AR-00002,invoice
DOC-99167,AR-00003,invoice
DOC-99807,AR-00027,invoice
