document_id,voucher,document_type
DOC-13040,AR-00010,invoice
DOC-14259,AR-00031,invoice
DOC-21723,AR-00019,invoice
DOC-22758,AR-00060,invoice
DOC-23635,AR-00005,invoice
DOC-24303,AR-00014,invoice
DOC-25622,AR-00055,invoice
DOC-25932,AR-00023,invoice
DOC-27386,AR-00058,invoice
DOC-30272,AR-00011,invoice
DOC-31993,AR-00029,invoice
DOC-32307,AR-00025,invoice
DOC-33317,AR-00054,invoice
DOC-35344,AR-00006,invoice
DOC-37165,AR-00074,invoice
DOC-39528,AR-00037,invoice
DOC-42049,AR-00003,invoice
DOC-43292,AR-00048,invoice
DOC-43710,AR-00008,invoice
DOC-44278,AR-00009,invoice
DOC-44572,AR-00021,invoice
DOC-45462,AR-00061,invoice
DOC-45965,AR-00073,invoice
DOC-47399,AR-00069,invoice
DOC-49395,AR-00004,invoice
DOC-51372,AR-00050,invoice
DOC-52506,AR-00068,invoice
DOC-52681,AR-00016,invoice
DOC-54051,AR-00007,invoice
DOC-54595,AR-00064,invoice
DOC-56404,AR-00020,invoice
DOC-57326,AR-00066,invoice
DOC-58878,AR-00033,invoice
DOC-60070,AR-00039,invoice
DOC-61018,AR-00076,invoice
DOC-66775,AR-00030,invoice
DOC-67184,AR-00062,invoice
DOC-69437,AR-00059,invoice
DOC-69739,AR-00056,invoice
DOC-69969,AR-00045,invoice
DOC-70143,AR-00077,invoice
DOC-74414,AR-00001,invoice
DOC-81559,AR-00002,invoice
DOC-83465,AR-00075,invoice
DOC-86354,AR-00032,invoice
DOC-89071,AR-00041,invoice
DOC-97968,AR-00046,invoice
DOC-98192,AR-00035,invoice
DOC-98980,AR-00022,invoice
