document_id,voucher,document_type
DOC-11832,AR-00029,invoice
DOC-12616,AR-00066,invoice
DOC-16754,AR-00037,invoice
DOC-16874,AR-00015,invoice
DOC-17096,AR-00058,invoice
DOC-17250,AR-00039,invoice
DOC-17397,AR-00053,invoice
DOC-18355,AR-00001,invoice
DOC-20553,AR-00061,invoice
DOC-20814,AR-00042,invoice
DOC-28435,AR-00056,invoice
DOC-30628,AR-00022,invoice
DOC-31680,AR-00007,invoice
DOC-33871,AR-00012,invoice
DOC-35786,AR-00027,invoice
DOC-36261,AR-00017,invoice
DOC-36737,AR-00003,invoice
DOC-38096,AR-00032,invoice
DOC-38418,AR-00070,invoice
DOC-41701,AR-00033,invoice
DOC-41705,AR-00011,invoice
DOC-46804,AR-00009,invoice
DOC-50825,AR-00052,invoice
DOC-55490,AR-00021,invoice
DOC-57980,AR-00030,invoice
DOC-59630,AR-00050,invoice
DOC-61866,AR-00049,invoice
DOC-62485,AR-00010,invoice
DOC-66416,AR-00004,invoice
DOC-67593,AR-00068,invoice
DOC-68758,AR-00005,invoice
DOC-70181,AR-00024,invoice
DOC-70678,AR-00008,invoice
DOC-72191,AR-00055,invoice
DOC-73222,AR-00036,invoice
DOC-77799,AR-00006,invoice
DOC-78517,AR-00062,invoice
DOC-81340,AR-00013,invoice
DOC-83554,AR-00064,invoice
DOC-83965,AR-00047,invoice
DOC-85375,AR-00045,invoice
DOC-92348,AR-00040,invoice
DOC-93084,AR-00072,invoice
DOC-94330,AR-00016,invoice
DOC-95139,AR-00065,invoice
DOC-95920,AR-00031,invoice
DOC-96525,AR-00002,invoice
DOC-98498,AR-00051,invoice
DOC-99165,AR-00063,invoice
DOC-99988,AR-00067,invoice
