document_id,voucher,document_type
DOC-10125,AR-00021,invoice
DOC-13400,AR-00019,invoice
DOC-13485,AR-00029,invoice
DOC-14078,AR-00089,invoice
DOC-14642,AR-00142,invoice
DOC-17156,AR-00198,invoice
DOC-17364,AR-00125,invoice
DOC-17586,AR-00128,invoice
DOC-18489,AR-00040,invoice
DOC-19109,AR-00150,invoice
DOC-19382,AR-00114,invoice
DOC-19880,AR-00074,invoice
DOC-20359,AR-00093,invoice
DOC-21487,AR-00118,invoice
DOC-22074,AR-00179,invoice
DOC-22944,AR-00126,invoice
DOC-22998,AR-00157,invoice
DOC-23121,AR-00077,invoice
DOC-23350,AR-00051,invoice
DOC-25572,AR-00015,invoice
DOC-26423,AR-00004,invoice
DOC-26869,AR-00006,invoice
DOC-27281,AR-00107,invoice
DOC-27863,AR-00031,invoice
DOC-28369,AR-00202,invoice
DOC-28925,AR-00196,invoice
DOC-29212,AR-00124,invoice
DOC-29572,AR-00211,invoice
DOC-30310,AR-00171,invoice
DOC-31405,AR-00108,invoice
DOC-31630,AR-00024,invoice
DOC-33918,AR-00152,invoice
DOC-35376,AR-00063,invoice
DOC-35765,AR-00016,invoice
DOC-36356,AR-00055,invoice
DOC-36876,AR-00220,invoice
DOC-37024,AR-00011,invoice
DOC-37026,AR-00009,invoice
DOC-38694,AR-00148,invoice
DOC-38775,AR-00136,invoice
DOC-38812,AR-00044,invoice
DOC-41025,AR-00155,invoice
DOC-42693,AR-00014,invoice
DOC-42699,AR-00048,invoice
DOC-43254,AR-00064,invoice
DOC-44825,AR-00172,invoice
DOC-45904,AR-00034,invoice
DOC-46353,AR-00193,invoice
DOC-46739,AR-00141,invoice
DOC-46837,AR-00038,invoice
DOC-47085,AR-00158,invoice
DOC-47835,AR-00109,invoice
DOC-48574,AR-00099,invoice
DOC-49013,AR-00030,invoice
DOC-49683,AR-00008,invoice
DOC-49890,AR-00078,invoice
DOC-50537,AR-00095,invoice
DOC-51138,AR-00081,invoice
DOC-51604,AR-00187,invoice
DOC-51916,AR-00219,invoice
DOC-53865,AR-00167,invoice
DOC-55733,AR-00116,invoice
DOC-55972,AR-00190,invoice
DOC-56093,AR-00049,invoice
DOC-56588,AR-00073,invoice
DOC-56690,AR-00076,invoice
DOC-57007,AR-00185,invoice
DOC-58130,AR-00001,invoice
DOC-59371,AR-00127,invoice
DOC-59752,AR-00043,invoice
DOC-60231,AR-00036,invoice
DOC-60577,AR-00007,invoice
DOC-60980,AR-00119,invoice
DOC-62297,AR-00113,invoice
DOC-63908,AR-00042,invoice
DOC-64196,AR-00210,invoice
DOC-64417,AR-00003,invoice
DOC-64537,AR-00129,invoice
DOC-64731,AR-00027,invoice
DOC-65102,AR-00137,invoice
DOC-65254,AR-00058,invoice
DOC-66237,AR-00090,invoice
DOC-66923,AR-00214,invoice
DOC-67024,AR-00213,invoice
DOC-67234,AR-00199,invoice
DOC-68038,AR-00070,invoice
DOC-68502,AR-00082,invoice
DOC-68858,AR-00047,invoice
DOC-69336,AR-00146,invoice
DOC-70860,AR-00096,invoice
DOC-71698,AR-00080,invoice
DOC-72916,AR-00163,invoice
DOC-73748,AR-00161,invoice
DOC-75775,AR-00045,invoice
DOC-76511,AR-00062,invoice
DOC-78224,AR-00138,invoice
DOC-78412,AR-00209,invoice
DOC-79701,AR-00059,invoice
DOC-79927,AR-00173,invoice
DOC-80142,AR-00002,invoice
DOC-80161,AR-00191,invoice
DOC-80259,AR-00100,invoice
DOC-82431,AR-00101,invoice
DOC-83242,AR-00162,invoice
DOC-84356,AR-00180,invoice
DOC-84435,AR-00195,invoice
DOC-86478,AR-00111,invoice
DOC-86725,AR-00151,invoice
DOC-87549,AR-00028,invoice
DOC-87980,AR-00023,invoice
DOC-89560,AR-00061,invoice
DOC-89655,AR-00088,invoice
DOC-89790,AR-00110,invoice
DOC-90121,AR-00147,invoice
DOC-91000,AR-00145,invoice
DOC-91205,AR-00215,invoice
DOC-91900,AR-00216,invoice
DOC-91957,AR-00013,invoice
DOC-92411,AR-00017,invoice
DOC-93631,AR-00160,invoice
DOC-93746,AR-00067,invoice
DOC-93786,AR-00130,invoice
DOC-94794,AR-00122,invoice
DOC-95263,AR-00197,invoice
DOC-95415,AR-00005,invoice
DOC-95540,AR-00050,invoice
DOC-97102,AR-00039,invoice
DOC-97511,AR-00025,invoice
DOC-98120,AR-00079,invoice
DOC-99552,AR-00165,invoice
DOC-99673,AR-00207,invoice
DOC-99792,AR-00105,invoice
