document_id,voucher,document_type
DOC-10152,AR-00002,invoice
DOC-13396,AR-00055,invoice
DOC-17423,AR-00007,invoice
DOC-19198,AR-00068,invoice
DOC-21773,AR-00034,invoice
DOC-22316,AR-00053,invoice
DOC-22808,AR-00077,invoice
DOC-22991,AR-00030,invoice
DOC-23462,AR-00048,invoice
DOC-24352,AR-00041,invoice
DOC-24768,AR-00011,invoice
DOC-25955,AR-00005,invoice
DOC-26977,AR-00015,invoice
DOC-27317,AR-00046,invoice
DOC-30296,AR-00064,invoice
DOC-32473,AR-00075,invoice
DOC-37342,AR-00013,invoice
DOC-43973,AR-00069,invoice
DOC-45703,AR-00037,invoice
DOC-47762,AR-00008,invoice
DOC-47838,AR-00044,invoice
DOC-48940,AR-00060,invoice
DOC-51463,AR-00017,invoice
DOC-52736,AR-00049,invoice
DOC-52906,AR-00051,invoice
DOC-53237,AR-00014,invoice
DOC-55928,AR-00028,invoice
DOC-57503,AR-00066,invoice
DOC-57993,AR-00025,invoice
DOC-59860,AR-00059,invoice
DOC-62365,AR-00018,invoice
DOC-63211,AR-00004,invoice
DOC-63640,AR-00063,invoice
DOC-64574,AR-00001,invoice
DOC-66627,AR-00067,invoice
DOC-67505,AR-00029,invoice
DOC-67910,AR-00006,invoice
DOC-70505,AR-00058,invoice
DOC-73020,AR-00052,invoice
DOC-73208,AR-00019,invoice
DOC-73730,AR-00074,invoice
DOC-74983,AR-00040,invoice
DOC-75490,AR-00036,invoice
DOC-76010,AR-00076,invoice
DOC-78837,AR-00016,invoice
DOC-80292,AR-00078,invoice
DOC-89322,AR-00056,invoice
DOC-89902,AR-00003,invoice
DOC-90294,AR-00012,invoice
DOC-90544,AR-00031,invoice
DOC-91101,AR-00010,invoice
DOC-93828,AR-00032,invoice
DOC-95723,AR-00065,invoice
