document_id,voucher,document_type
DOC-10863,AR-00037,invoice
DOC-11105,AR-00090,invoice
DOC-11509,AR-00079,invoice
DOC-11518,AR-00136,invoice
DOC-11861,AR-00095,invoice
DOC-13347,AR-00144,invoice
DOC-13368,AR-00070,invoice
DOC-17928,AR-00105,invoice
DOC-18744,AR-00078,invoice
DOC-19378,AR-00107,invoice
DOC-19484,AR-00052,invoice
DOC-19888,AR-00092,invoice
DOC-20944,AR-00096,invoice
DOC-21464,AR-00143,invoice
DOC-22977,AR-00116,invoice
DOC-26006,AR-00027,invoice
DOC-27209,AR-00041,invoice
DOC-29044,AR-00114,invoice
DOC-29385,AR-00028,invoice
DOC-29754,AR-00081,invoice
DOC-30104,AR-00106,invoice
DOC-33051,AR-00015,invoice
DOC-34066,AR-00001,invoice
DOC-35259,AR-00134,invoice
DOC-38786,AR-00011,invoice
DOC-38812,AR-00088,invoice
DOC-39514,AR-00064,invoice
DOC-41594,AR-00135,invoice
DOC-45415,AR-00108,invoice
DOC-45898,AR-00087,invoice
DOC-48118,AR-00142,invoice
DOC-48458,AR-00099,invoice
DOC-50029,AR-00009,invoice
DOC-51669,AR-00035,invoice
DOC-52651,AR-00131,invoice
DOC-52681,AR-00006,invoice
DOC-53116,AR-00019,invoice
DOC-55585,AR-00017,invoice
DOC-56104,AR-00068,invoice
DOC-56493,AR-00093,invoice
DOC-56826,AR-00032,invoice
DOC-57213,AR-00097,invoice
DOC-58141,AR-00033,invoice
DOC-58508,AR-00059,invoice
DOC-59361,AR-00030,invoice
DOC-61278,AR-00054,invoice
DOC-61804,AR-00046,invoice
DOC-62114,AR-00050,invoice
DOC-62917,AR-00005,invoice
DOC-63765,AR-00039,invoice
DOC-65133,AR-00111,invoice
DOC-65225,AR-00020,invoice
DOC-65361,AR-00121,invoice
DOC-66764,AR-00074,invoice
DOC-68215,AR-00022,invoice
DOC-69447,AR-00002,invoice
DOC-69480,AR-00140,invoice
DOC-69603,AR-00086,invoice
DOC-70092,AR-00021,invoice
DOC-70150,AR-00115,invoice
DOC-70798,AR-00014,invoice
DOC-71476,AR-00104,invoice
DOC-71763,AR-00056,invoice
DOC-73950,AR-00118,invoice
DOC-75022,AR-00126,invoice
DOC-75974,AR-00071,invoice
DOC-76012,AR-00066,invoice
DOC-77632,AR-00047,invoice
DOC-78449,AR-00031,invoice
DOC-80404,AR-00013,invoice
DOC-81217,AR-00083,invoice
DOC-82481,AR-00139,invoice
DOC-83480,AR-00125,invoice
DOC-84953,AR-00034,invoice
DOC-86576,AR-00008,invoice
DOC-86916,AR-00065,invoice
DOC-88884,AR-00072,invoice
DOC-89697,AR-00029,invoice
DOC-90472,AR-00003,invoice
DOC-90518,AR-00084,invoice
DOC-91322,AR-00130,invoice
DOC-91458,AR-00004,invoice
DOC-91541,AR-00112,invoice
DOC-91821,AR-00103,invoice
DOC-92529,AR-00025,invoice
DOC-93529,AR-00069,invoice
DOC-95014,AR-00061,invoice
DOC-95374,AR-00055,invoice
DOC-95511,AR-00091,invoice
DOC-96489,AR-00058,invoice
DOC-96793,AR-00129,invoice
DOC-96840,AR-00123,invoice
DOC-97272,AR-00138,invoice
DOC-98378,AR-00109,invoice
