document_id,voucher,document_type
DOC-10555,AR-00037,invoice
DOC-10591,AR-00096,invoice
DOC-12425,AR-00032,invoice
DOC-14195,AR-00097,invoice
DOC-15819,AR-00042,invoice
DOC-19676,AR-00039,invoice
DOC-23302,AR-00005,invoice
DOC-27590,AR-00078,invoice
DOC-29080,AR-00013,invoice
DOC-30372,AR-00056,invoice
DOC-33596,AR-00067,invoice
DOC-34162,AR-00001,invoice
DOC-34415,AR-00051,invoice
DOC-36333,AR-00050,invoice
DOC-37285,AR-00061,invoice
DOC-38958,AR-00063,invoice
DOC-40079,AR-00064,invoice
DOC-40173,AR-00034,invoice
DOC-44707,AR-00009,invoice
DOC-45478,AR-00077,invoice
DOC-46040,AR-00069,invoice
DOC-51278,AR-00074,invoice
DOC-51549,AR-00036,invoice
DOC-51918,AR-00089,invoice
DOC-53449,AR-00024,invoice
DOC-54149,AR-00095,invoice
DOC-57825,AR-00025,invoice
DOC-60450,AR-00026,invoice
DOC-61236,AR-00044,invoice
DOC-62131,AR-00019,invoice
DOC-64605,AR-00023,invoice
DOC-64754,AR-00007,invoice
DOC-66383,AR-00012,invoice
DOC-66904,AR-00047,invoice
DOC-68990,AR-00016,invoice
DOC-69393,AR-00055,invoice
DOC-70432,AR-00065,invoice
DOC-72046,AR-00083,invoice
DOC-72792,AR-00018,invoice
DOC-74456,AR-00029,invoice
DOC-76424,AR-00059,invoice
DOC-76685,AR-00040,invoice
DOC-78685,AR-00081,invoice
DOC-81205,AR-00046,invoice
DOC-82033,AR-00080,invoice
DOC-82211,AR-00014,invoice
DOC-85638,AR-00002,invoice
DOC-86194,AR-00020,invoice
DOC-86522,AR-00062,invoice
DOC-87010,AR-00054,invoice
DOC-87256,AR-00033,invoice
DOC-87343,AR-00003,invoice
DOC-87388,AR-00094,invoice
DOC-88430,AR-00048,invoice
DOC-93503,AR-00006,invoice
DOC-94595,AR-00098,invoice
DOC-94610,AR-00073,invoice
DOC-95484,AR-00043,invoice
DOC-96952,AR-00058,invoice
